concept_a,concept_b,Course_Code,course_name,source_syllabus,ai_suggested_label,confirmed_label,reason,embedding_similarity,order_delta,keyword_overlap
Linear Block Code,IEEE 802.11 Wireless LAN,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.049 - no semantic relation,0.0491,12,0.0
Special-purpose,Real-Time,2014113,Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.277, delta=4, kw=0.000",0.2769,4,0.0
Applying to chemical engineering problems related,Applications of Runge-Kutta Fourth order,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.186, delta=3, kw=0.000",0.1858,3,0.0
Properties of Eigen,Method and Adam Bashford Predictor,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.026 - no semantic relation,0.0263,7,0.0
Simplex method,Artificial variables,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.267,0.267,1,0.0
Basic and Feasible solutions,Lines of regression,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.157, delta=11, kw=0.000",0.1566,11,0.0
Types of solutions,Lines of regression,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.104 - no semantic relation,0.1037,13,0.2
Arden's theorem,Application of Regular,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.248, delta=4, kw=0.000",0.2475,4,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Similarity of matrices,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.378 + delta=1,0.378,1,0.16666666666666666
Pumping lemma,Equivalence between NFA with and ϵ- transitions,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.162, delta=5, kw=0.000",0.1623,5,0.0
Network Operating System,Special-purpose Operating Systems,2174113,Operating System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,1,,High sim=0.608 + delta=3,0.6075,3,0.16666666666666666
Artificial variables,Dirichlet’s conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.085 - no semantic relation,0.0852,5,0.0
Applying to chemical engineering problems related,Eulers method,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.160, delta=1, kw=0.000",0.1601,1,0.0
Pumping lemma,Languages in Compiler Design,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.224, delta=3, kw=0.000",0.2239,3,0.0
Gas solid separation equipment: Cyclone,"Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.270,0.2696,2,0.0
Simplex method,Fourier series of even and odd functions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.159, delta=8, kw=0.000",0.1592,8,0.0
Mixing equipment for cohesive solids,Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.246, delta=4, kw=0.143",0.2461,4,0.14285714285714285
Types of solutions,Dirichlet’s conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.198, delta=9, kw=0.000",0.1982,9,0.0
Cayley-Hamilton,Application of congruence-RSA algorithm,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.089 - no semantic relation,0.0894,13,0.0
Size reduction of solids. Mechanism of size,Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.228, delta=9, kw=0.000",0.228,9,0.0
Basic and Feasible solutions,Lines of regression,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.157, delta=11, kw=0.000",0.1566,11,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.169, delta=5, kw=0.143",0.1691,5,0.14285714285714285
Quadratic forms,Application of congruence-RSA algorithm,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.116 - no semantic relation,0.1161,10,0.0
Mixers for free flowing solids: Ribbon,Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.285, delta=3, kw=0.125",0.2854,3,0.125
"Blockchain, UTXO and double spending problem","Case study: AI for transaction validation, fraud",2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.221, delta=6, kw=0.000",0.221,6,0.0
10-Gigabit Ethernet,HDLC Protocol,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.098 - no semantic relation,0.0984,2,0.0
Medium Access Control,HDLC Protocol,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.379, delta=6, kw=0.000",0.3793,6,0.0
Similarity of matrices,Quadratic forms,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.184, delta=1, kw=0.000",0.1835,1,0.0
Kuhn-Tucker conditions,Linear congruence,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=-0.039 - no semantic relation,-0.0388,2,0.0
Fourier series of periodic,Moment generating function,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.174, delta=4, kw=0.000",0.1743,4,0.0
Taxes and tax brackets,Vending machines,2493112,Discrete Structures and Graph Theory,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,Low sim=0.047 - no semantic relation,0.0465,1,0.0
Standard and Canonical of LPP,Moment generating function,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.060 - no semantic relation,0.0601,13,0.0
Quadratic forms,Kuhn-Tucker conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.200, delta=7, kw=0.000",0.2002,7,0.0
Standard and Canonical of LPP,Artificial variables,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.160, delta=3, kw=0.000",0.1601,3,0.0
Moment generating function,Raw moments,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.410,0.4099,1,0.0
Parseval’s Identity (without proof) Fourier series of periodic,Rank correlation coefficient (R) (with repeated and non,2343111,Applied Mathematics Thinking-I,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=-0.099 - no semantic relation,-0.0991,5,0.0
CRC code,HDLC Protocol,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.223, delta=10, kw=0.000",0.2231,10,0.0
Structure of a switch,Data Link Layer Data Link Control:  Framing ,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.119 - no semantic relation,0.1193,2,0.0
"Overview of SQL, Data Definition Commands","Pitfalls in relational database designs, Concept",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.329 + delta=3,0.3288,3,0.0
Space Division Switching,Medium Access Control,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.205, delta=7, kw=0.000",0.2054,7,0.0
"Generalization, Specialization and Aggregation","Cloud Database, Introduction of Distributed",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.221, delta=8, kw=0.000",0.2213,8,0.0
Introduction to Congruence,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,,High sim=0.678 + delta=1,0.6781,1,0.25
"ERC721 Tokens, ICO: basics and related terms","Metaverse, Cryptocurrency wallets: Hot and cold",2166118,Blockchain Technology,SEM-V.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.222,0.2219,1,0.08333333333333333
Linear and Non-Linear Programming Problems,Artificial variables,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.395, delta=5, kw=0.000",0.3948,5,0.0
Relationship (EER) Model,"Concurrent Executions, Serializability",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.058 - no semantic relation,0.0581,8,0.0
Cayley-Hamilton,Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.318,0.318,1,0.0
Similarity of matrices,Linear congruence,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=10, kw=0.000",0.1671,10,0.0
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.247, delta=6, kw=0.000",0.2473,6,0.0
Flow of a single fluid through a packed bed,"Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.186, delta=7, kw=0.077",0.1858,7,0.07692307692307693
Application of congruence-RSA algorithm,Moment generating function,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.180, delta=6, kw=0.000",0.1798,6,0.0
"Automation, Test Automation Pyramid. Case",Assessment. Study of various Open,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.157, delta=7, kw=0.000",0.157,7,0.0
Introduction to Congruence,Fourier series of periodic,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=4, kw=0.000",0.1555,4,0.0
Data Link Layer Data Link Control:  Framing ,Scheduled Access (Reservation,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.142 - no semantic relation,0.1417,7,0.0
Determining risk,Taxes and tax brackets,2173112,Discrete Structures and Graph Theory,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.082 - no semantic relation,0.0822,1,0.0
Diagonalization of matrices,Applications of Runge-Kutta Fourth order,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.089 - no semantic relation,0.0885,4,0.125
Structure of a switch,Linear Block Code,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.272 + delta=3,0.272,3,0.0
Application of Regular,Languages in Compiler Design,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.127 - no semantic relation,0.127,1,0.0
Kuhn-Tucker conditions,Raw moments,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.100 - no semantic relation,0.1,10,0.0
Quadratic forms,Kuhn-Tucker conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.200, delta=7, kw=0.000",0.2002,7,0.0
Decision properties of RLs,Languages in Compiler Design,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.174, delta=4, kw=0.000",0.1739,4,0.0
Arden's theorem,Application of Regular,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.248, delta=4, kw=0.000",0.2475,4,0.0
Regular operations,Minimization of DFA,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.233, delta=9, kw=0.000",0.2333,9,0.0
Data Link Layer Data Link Control:  Framing ,Medium Access Control,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.380, delta=6, kw=0.143",0.3796,6,0.14285714285714285
Types of solutions,Artificial variables,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.276 + delta=4,0.2761,4,0.0
RE in text search and replace,Minimization of DFA,2024111,Computational,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.056 - no semantic relation,0.056,5,0.0
Flow of a single fluid through a packed bed,Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.448,0.4483,2,0.0
"Automation, Test Automation Pyramid. Case",Source Tools in DevOps,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.251, delta=8, kw=0.000",0.2506,8,0.0
Flow Control: Stop-and-Wait Flow Control,Medium Access Control,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.333, delta=3, kw=0.143",0.3332,3,0.14285714285714285
Standard and Canonical of LPP,Fourier series of periodic,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=-0.022 - no semantic relation,-0.0222,9,0.125
Screening equipment – Vibrating screen,Flow of a single fluid through a packed bed,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=-0.039 - no semantic relation,-0.0389,8,0.0
Flow Control: Stop-and-Wait Flow Control,Go-Back-N ARQ,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.199, delta=2, kw=0.000",0.1993,2,0.0
Quadratic forms,Dirichlet’s conditions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.133 - no semantic relation,0.1331,11,0.0
Pumping lemma,Nondeterministic Finite Automata (NFA): Definitions,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.116 - no semantic relation,0.1155,4,0.0
Special-purpose,Real-Time,2174113,Operating System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.277, delta=4, kw=0.000",0.2769,4,0.0
Special-purpose,Mobile Operating System,2494113,Operating System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.154, delta=5, kw=0.000",0.1539,5,0.0
"Hammer mill, Ball mill and Roll crusher",Solid mixing – Introduction to solid mixing,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.243,0.2432,1,0.0
Linear and Non-Linear Programming Problems,Artificial variables,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.395, delta=5, kw=0.000",0.3948,5,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Simplex method,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.152, delta=7, kw=0.000",0.1524,7,0.0
"Generalization, Specialization and Aggregation","Concurrent Executions, Serializability",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.255, delta=7, kw=0.000",0.2549,7,0.0
Special-purpose,Fundamentals of Distributed Operating System,2174113,Operating System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.175, delta=2, kw=0.000",0.1752,2,0.0
Decision properties of RLs,Minimization of DFA,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.191, delta=7, kw=0.167",0.1913,7,0.16666666666666666
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Quadratic forms,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,Foundational kw in A + sim=0.327 + delta=2,0.3275,2,0.0
"ERC721 Tokens, ICO: basics and related terms",Emerging trends,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.163, delta=6, kw=0.000",0.1635,6,0.0
Applications to solve initial and boundary value problems,Kar lPearson’s Coefficient of correlation(r) Spearman’s,2343111,Applied Mathematics Thinking-I,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.015 - no semantic relation,0.0149,5,0.0
"Postman, and JMeter",Choosing the right DevOps tools and challenges,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.180, delta=4, kw=0.111",0.1803,4,0.1111111111111111
Pumping lemma for RLs,RE in text search and replace,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.150, delta=1, kw=0.000",0.1502,1,0.0
"ERC721 Tokens, ICO: basics and related terms",Common security threats in Blockchain,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.215, delta=3, kw=0.000",0.2149,3,0.0
Similarity of matrices,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=10, kw=0.000",0.1671,10,0.0
Models on Blockchain: decentralized AI,"Case study: AI for transaction validation, fraud",2166118,Blockchain Technology,SEM-V.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.404,0.4036,1,0.09090909090909091
Quadratic forms,Simplex method,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.179, delta=5, kw=0.000",0.1793,5,0.0
"Introduction to the Relational Model, relational","Triggers, Introduction to Pl/SQL Block Structure",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.222, delta=4, kw=0.200",0.2218,4,0.2
Basic and Feasible solutions,Linear congruence,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.161, delta=5, kw=0.000",0.1608,5,0.0
Dirichlet’s conditions,Fourier series of periodic,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=1, kw=0.000",0.1715,1,0.0
Mixers for free flowing solids: Ribbon,Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.105 - no semantic relation,0.1048,5,0.0
Application of congruence-RSA algorithm,Lines of regression,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.028 - no semantic relation,0.0278,5,0.14285714285714285
Types of solutions,Moment generating function,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.011 - no semantic relation,0.0109,14,0.0
RE in text search and replace,Minimization of DFA,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.056 - no semantic relation,0.056,5,0.0
Basic and Feasible solutions,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.161, delta=5, kw=0.000",0.1608,5,0.0
Linear Block Code,Go-Back-N ARQ,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.025 - no semantic relation,0.0246,4,0.0
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.247, delta=6, kw=0.000",0.2473,6,0.0
Pumping lemma for RLs,Application of Regular,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=2, kw=0.000",0.1671,2,0.0
Dirichlet’s conditions,Fourier series of periodic,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=1, kw=0.000",0.1715,1,0.0
"Testing: Functionality Testing, UI Testing","Agility, DevOps and Continuous Testing",2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.372, delta=7, kw=0.143",0.3721,7,0.14285714285714285
Similarity of matrices,Linear and Non-Linear Programming Problems,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.056 - no semantic relation,0.0555,2,0.0
Basic and Feasible solutions,Kuhn-Tucker conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.257 + delta=3,0.2568,3,0.0
Size reduction equipment – Jaw crusher,Mixers for free flowing solids: Ribbon,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.273, delta=4, kw=0.000",0.2731,4,0.0
Scheduled Access (Reservation,HDLC Protocol,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.202, delta=5, kw=0.000",0.2023,5,0.0
Choosing the right DevOps tools and challenges,Source Tools in DevOps,2165113,Agile Software Development & DevOps,SEM-V.pdf,1,,High sim=0.729 + delta=2,0.7288,2,0.2222222222222222
Cayley-Hamilton,Simplex method,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.041 - no semantic relation,0.0414,8,0.0
Parseval’s Identity (without proof) Fourier series of periodic,"Harmonic function, Harmonic conjugate, and orthogonal",2343111,Applied Mathematics Thinking-I,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.291, delta=3, kw=0.000",0.291,3,0.0
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.247, delta=6, kw=0.000",0.2473,6,0.0
Linear and Non-Linear Programming Problems,Complex form of Fourier Series,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.130 - no semantic relation,-0.13,13,0.0
Application of Regular,Equivalence between NFA with and ϵ- transitions,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.141 - no semantic relation,0.1411,3,0.0
Size reduction of solids. Mechanism of size,Solid mixing – Introduction to solid mixing,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.197, delta=3, kw=0.000",0.1973,3,0.0
Quadratic forms,Simplex method,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.179, delta=5, kw=0.000",0.1793,5,0.0
Types of solutions,Linear congruence,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.104 - no semantic relation,0.1037,7,0.0
10-Gigabit Ethernet,IEEE 802.11 Wireless LAN,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.310, delta=3, kw=0.000",0.3096,3,0.0
Eulers method,Relation between E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.177, delta=7, kw=0.000",0.1773,7,0.0
Similarity of matrices,Introduction to Congruence,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.050 - no semantic relation,0.0499,9,0.0
Pumping lemma for RLs,RE in text search and replace,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.150, delta=1, kw=0.000",0.1502,1,0.0
Introduction to Congruence,Dirichlet’s conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=3, kw=0.000",0.1547,3,0.0
Simplex method,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.141 - no semantic relation,0.1412,4,0.0
Standard and Canonical of LPP,Simplex method,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.166, delta=2, kw=0.000",0.1656,2,0.0
Artificial variables,Lines of regression,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.342, delta=9, kw=0.000",0.3424,9,0.0
Algorithms  for  different  situations,Implementation of Page,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.230,0.2304,2,0.0
"Hammer mill, Ball mill and Roll crusher",Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.182, delta=9, kw=0.000",0.1824,9,0.0
Pumping lemma for RLs,Languages in Compiler Design,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.258, delta=3, kw=0.000",0.258,3,0.0
Cayley-Hamilton,Quadratic forms,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.191, delta=3, kw=0.000",0.1908,3,0.0
Basic and Feasible solutions,Dirichlet’s conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.143 - no semantic relation,0.143,7,0.0
"Generalization, Specialization and Aggregation","Cloud Database, Introduction of Distributed",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.221, delta=8, kw=0.000",0.2213,8,0.0
