concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
Review/progress monitoring committee may consider following points for assessment based of the semester,o Identification of need/problem,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.186,3,1,0.0556,0,lab_or_project_course,lab_or_project_course
ethical challenges in AI,Self-learning Topics: Adaptive fuzzy systems and,2165112,Artificial,SEM-V.pdf,0.1367,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
"Pre-Requisite Topics Basic Concepts: HTML5, CSS3; JavaScript, Client-Server paradigm, Front-end and Back-end development",Self-Learning: Overview of Progressive Web,2165114,Web and,SEM-V.pdf,0.2411,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise
"and Benefits, DevOps Principles and Practices",in DevOps Implementation. Mapping App to,2165113,Agile Software,SEM-V.pdf,0.4879,4,1,0.1,1,truncated_fragment,truncated_fragment
based forecasting for more accurate,The Agile,2165113,Agile Software,SEM-V.pdf,0.1562,6,1,0.0,0,truncated_fragment,truncated_fragment
assignment completed by the, In this case in students’ group shall complete project in all aspects including,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4954,5,1,0.0,1,truncated_fragment,truncated_fragment; publisher_citation; lab_or_project_course
Learning Techniques,Relationship between Dimensionality and,2166111,Machine,SEM-V.pdf,0.1529,6,1,0.0,0,truncated_fragment,truncated_fragment
"Compare cloud service models (IaaS, PaaS, SaaS) in the context of IoT analytics and",Connected Car System,2166121,Internet of Things,SEM-V.pdf,0.0646,6,1,0.0,0,truncated_fragment,truncated_fragment
Do List Manager (Scala or Elixir),Immutable data structures,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2462,1,1,0.0,1,lab_or_project_course,lab_or_project_course
➢ Question paper format,Date of Exam,2165113,Agile Software,SEM-V.pdf,0.2432,9,1,0.0,0,admin_rubric_noise,admin_rubric_noise
in DevOps Implementation. Mapping App to,"Roger Pressman, Software Engineering: A Practitioner's Approach, 6th edition, McGraw",2165113,Agile Software,SEM-V.pdf,0.2638,8,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
Identify and analyze common vulnerabilities in IoT systems. Suggest techniques for,Design an IoT solution for any one of the following case studies,2166121,Internet of Things,SEM-V.pdf,0.4364,2,1,0.0952,1,truncated_fragment,truncated_fragment
Introduction to Analysis of Algorithms,Implementation of randomized quicksort algorithm and,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4473,3,1,0.1,1,truncated_fragment,truncated_fragment; lab_or_project_course
based consensus is used,CGPA Semester/ Programme,2166126,Blockchain,SEM-V.pdf,0.0976,3,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise
Implement Travelling salesman problem,String Matching Algorithms,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.221,1,1,0.0,1,lab_or_project_course,lab_or_project_course
The programs must be based on creating a,Knowledge Base having multiple facts and rules,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2558,1,1,0.0,1,lab_or_project_course,lab_or_project_course
"Abstraction & Encapsulation, Initialization and",Dynamic Binding,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2349,2,1,0.0,1,person_name,person_name; truncated_fragment; lab_or_project_course
Concept of features and importance in predictive,modelling Creating new features from existing data,2166120,Visualization Lab,SEM-V.pdf,0.3377,1,1,0.0769,1,lab_or_project_course,lab_or_project_course
"Analytic function, necessary and sufficient conditions for","Harmonic function, Harmonic conjugate, and orthogonal",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2621,5,1,0.2,0,truncated_fragment,truncated_fragment; person_name
Term Work Marks: 25 Marks (Total marks) = 15 Marks (Experiment) + 5 Marks (Assignments),+ 5 Marks (Attendance),2166121,Internet of Things,SEM-V.pdf,0.5308,1,1,0.2,1,admin_rubric_noise,admin_rubric_noise; subject_mismatch
"Implement inheritance for different types of users (students, staff)","Use OOP to model Users, Transactions, and Categories",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3619,6,1,0.0625,1,lab_or_project_course,lab_or_project_course
Raspberry Pi in IoT systems,connecting smart devices,2166121,Internet of Things,SEM-V.pdf,0.3465,2,1,0.0,1,tool_fragment,tool_fragment
on Binary Search Tree and analyze space and time,Implement Sum of subsets problem for a given set of,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0868,9,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
MVC Architecture- Model: Business logic,document spacing,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0076,8,1,0.0,0,lab_or_project_course,lab_or_project_course
Order Functions,Write a recursive function to multiply two,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3411,1,1,0.0,1,person_name,person_name; subject_mismatch; lab_or_project_course
"DevOps: Introduction, DevOps - Importance",C’s of DevOps Lifecycle for Business,2165113,Agile Software,SEM-V.pdf,0.7441,2,1,0.1111,1,publisher_citation,publisher_citation
"Contracts and DApps”, O’Reilly Media","Contracts for Ethereum and Blockchain, Packt Publishing",2166118,Blockchain,SEM-V.pdf,0.3576,2,1,0.1818,1,publisher_citation,publisher_citation; person_name
"Q2: What is a Merkle Tree, and why is it used in blockchain?","Q3: What is a 51% attack, and how can it affect blockchain security?",2166126,Blockchain,SEM-V.pdf,0.3213,6,1,0.3158,1,admin_rubric_noise,admin_rubric_noise
"learning Topics: Covariance, fitting of exponential","learning topics: Total probability theorem, Bayes’",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5332,5,1,0.2,1,publisher_citation,publisher_citation
Date of Exam,Solve any three questions out of five: (05 marks each),2165113,Agile Software,SEM-V.pdf,0.2489,5,1,0.0833,0,admin_rubric_noise,admin_rubric_noise
Clarity of Problem definition based on need,Societal impact,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1719,5,1,0.0,0,lab_or_project_course,lab_or_project_course
Implementation of randomized quicksort algorithm and,Implementation of hash functions and its associated,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.318,2,1,0.3,1,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
repeated ranks) Lines of regression Fitting of first- and,"learning Topics: Covariance, fitting of exponential",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2369,2,1,0.1667,1,truncated_fragment,truncated_fragment
Students shall convert the best solution into a working model using various components of their domain areas and,Review/progress monitoring committee may consider following points for assessment based of the semester,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3424,14,1,0.0667,0,length_bound,length_bound; admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
"Contracts for Ethereum and Blockchain, Packt Publishing","Smart Contracts” ,Packt Publishing",2166118,Blockchain,SEM-V.pdf,0.8573,2,1,0.375,1,publisher_citation,publisher_citation
Backend: Java,Java SE concepts: JVM,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5799,6,1,0.2,0,lab_or_project_course,lab_or_project_course
world application where AI,Associate Dean,2166126,Blockchain,SEM-V.pdf,-0.0169,11,1,0.0,0,publisher_citation,publisher_citation; person_name
"Roger Pressman, Software Engineering: A Practitioner's Approach, 6th edition, McGraw","Craig Larman, Agile and Iterative Development: A Manager’s Guide, Addison",2165113,Agile Software,SEM-V.pdf,0.3921,10,1,0.1,0,publisher_citation,publisher_citation
Text Books,"Chandramouli Subramanian, Asha A. Georgeet al., “Blockchain Technology”, Universities",2166118,Blockchain,SEM-V.pdf,0.2237,1,1,0.0,1,publisher_citation,publisher_citation
a. Family Tree Generator (Prolog),Define rules and constraints to solve 9x9 Sudoku puzzle,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1214,4,1,0.0,0,lab_or_project_course,lab_or_project_course
understand declarative programming concepts,The programs must be based on creating a,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3736,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Anomaly Detection: Outliers,Anomaly detection techniques,2166120,Visualization Lab,SEM-V.pdf,0.8043,2,1,0.5,1,lab_or_project_course,lab_or_project_course
Collection of Dataset,Full functioning of working model as per stated requirements,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0544,4,1,0.0909,0,lab_or_project_course,lab_or_project_course
Remaining questions will be mixed in nature (part (a) and part (b) of each question,(b) must be from any other Module randomly selected from all the modules),2165113,Agile Software,SEM-V.pdf,0.2292,2,1,0.0833,1,truncated_fragment,truncated_fragment; subject_mismatch
Guidelines for Labs Capstone Mini,"to students for C, C++, JAVA along with how to",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0779,4,1,0.0833,0,truncated_fragment,truncated_fragment; lab_or_project_course
"A log book to be prepared by each group, wherein the group can record weekly work progress, and the","however, focus shall be on self",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0537,3,1,0.0455,0,length_bound,length_bound; publisher_citation; truncated_fragment; subject_mismatch; lab_or_project_course
No OOP involved,Paradigm Approach,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.246,10,1,0.0,0,lab_or_project_course,lab_or_project_course
"Postman, and JMeter",Choosing the right DevOps tools and challenges,2165113,Agile Software,SEM-V.pdf,0.1803,5,1,0.1111,0,person_name,person_name; truncated_fragment
Write a recursive function to multiply two,fibonacci series,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4098,3,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Fourier Series,Fourier series of periodic,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.8615,2,1,0.5,1,truncated_fragment,truncated_fragment
Online References,1/blob/master/book/Practical%20DevOps.pdf,2165113,Agile Software,SEM-V.pdf,0.271,2,1,0.0,1,person_name,person_name
Teaching Scheme,(Contact Hours),2166116,Computing,SEM-V.pdf,0.117,1,1,0.0,0,person_name,person_name; admin_rubric_noise; generic_lone_term
Implement Floyd Warshall Algorithm,String Matching Algorithms,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2801,2,1,0.0,1,lab_or_project_course,lab_or_project_course
project in consultation with the faculty supervisor/head of department/internal committee of faculty,"Students in a group shall understand the problem effectively, propose multiple solutions, and select the best possible",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2631,7,1,0.0769,0,length_bound,length_bound; admin_rubric_noise; lab_or_project_course
MAC address and its types,Standard Ethernet,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3464,2,1,0.0,1,person_name,person_name
Public Key Infrastructure (PKI) and,Self-learning Topics: Tools Used for Ethical,2166114,Security,SEM-V.pdf,0.0715,4,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise
A total of Four questions need to be answered,Duration: 2 Hours,2165113,Agile Software,SEM-V.pdf,0.1707,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise
a. Library Management System,Functional Programming,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1865,9,1,0.0,0,lab_or_project_course,lab_or_project_course
Fetch API,Creating REST Controllers in Spring Boot,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1595,14,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Concept of dependent and independent variables. The,regression. Estimation of coefficients using Least Squares,2166120,Visualization Lab,SEM-V.pdf,0.2129,2,1,0.0769,1,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Self-learning Topics: Exploring various Cloud computing,Edge and Fog Computing platforms and Services,2166124,Edge Computing,SEM-V.pdf,0.3294,6,1,0.0833,0,admin_rubric_noise,admin_rubric_noise
"Imran Bashir, “Mastering Blockchain: Inner Workings of Blockchain, Cryptocurrencies &","Dr. Vaibhav Agrawal, Practical Artificial Intelligence and Blockchain, BPB Publications",2166118,Blockchain,SEM-V.pdf,0.4868,5,1,0.0588,1,publisher_citation,publisher_citation
Guidelines for Assessment of Capstone Mini,assignment completed by the,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0573,8,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Self-learning Topics: Security Policies,Self-learning Topics: Lifecycle of a Cyberattack,2166114,Security,SEM-V.pdf,0.6687,6,1,0.3333,1,admin_rubric_noise,admin_rubric_noise
C’s of DevOps Lifecycle for Business,Hill International Publication,2165113,Agile Software,SEM-V.pdf,0.1087,12,1,0.0,0,publisher_citation,publisher_citation
Prolog programs to,Students must be able to learn to query it and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2162,4,1,0.0909,0,truncated_fragment,truncated_fragment; admin_rubric_noise; lab_or_project_course
Scikit-learn R,Importance of data cleaning and preparation Handling,2166120,Visualization Lab,SEM-V.pdf,0.0621,2,1,0.0,0,lab_or_project_course,lab_or_project_course
the execution of the Functional Implementation,understand declarative programming concepts,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2883,6,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
"Cryptocurrency basics, types, usage, ERC20 and","wallets, Cryptocurrency usage, Transactions in",2166118,Blockchain,SEM-V.pdf,0.4996,5,1,0.2222,1,truncated_fragment,truncated_fragment
Types of solutions,Standard and Canonical of LPP,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1217,1,1,0.1429,0,person_name,person_name; subject_mismatch
Implement Hamiltonian cycles,Implementation of Ford-Fulkerson algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2294,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Prolog programs to,Guidelines for Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0182,11,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Use procedural logic + OOP for file operations,"Term Work: Term Work shall consist of list of all practicals’ based on the above list. Also, the Term work Journal must",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0941,8,1,0.0,0,length_bound,length_bound; publisher_citation; admin_rubric_noise; lab_or_project_course
Procedural Programming,based system using functions only (no classes),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2694,5,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Principal Component Analysis,Relationship between Dimensionality and,2166111,Machine,SEM-V.pdf,0.3542,2,1,0.0,1,truncated_fragment,truncated_fragment
At least Two Programs to understand Exception,error in this case. Define safetail using: (a) a,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.189,14,1,0.0,0,lab_or_project_course,lab_or_project_course
"Blockchain, UTXO and double spending problem","like Supply chain, Healthcare, Energy, Education",2166118,Blockchain,SEM-V.pdf,0.0986,14,1,0.0,0,person_name,person_name
Implement Merge sort and Quicksort for the given list of,integer values and find space and time complexity,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1704,1,1,0.0625,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
The review/ progress monitoring committee shall be constituted by the head of departments of each institute, In this case in students’ group shall complete project in all aspects including,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3178,11,1,0.0417,0,length_bound,length_bound; publisher_citation; lab_or_project_course
Cloud Data Logging using Raspberry Pi and ThingSpeak,ThingSpeak Cloud. OR on AWS cloud,2166121,Internet of Things,SEM-V.pdf,0.6576,2,1,0.1818,1,tool_fragment,tool_fragment
Self-learning Topics: Exploring various Cloud computing,Designing basic edge and fog architectures for,2166124,Edge Computing,SEM-V.pdf,0.1934,3,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Faculty of Science & Technology,Prof. Shivram S. Garje,2166126,Blockchain,SEM-V.pdf,0.2671,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise; publisher_citation; person_name
Design an IoT solution for any one of the following case studies,Suggested List of Experiments,2166121,Internet of Things,SEM-V.pdf,0.2565,5,1,0.0667,1,admin_rubric_noise,admin_rubric_noise
Anomaly Detection: Outliers,Causes of Outliers,2166120,Visualization Lab,SEM-V.pdf,0.6833,1,1,0.2,1,subject_mismatch,subject_mismatch; lab_or_project_course
Data types,Introduction to Java EE- Need for Java EE in enterprise applications,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2294,5,1,0.0,0,lab_or_project_course,lab_or_project_course
Self-learning Topics: Thresholding techniques,Morphological watersheds,2166117,Digital Imaging,SEM-V.pdf,0.2319,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise
Principal Component Analysis,Feature Importance and Selection,2166111,Machine,SEM-V.pdf,0.4795,1,1,0.0,1,person_name,person_name
Functions ofSquare Matrix,value theorem,2344111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1505,6,1,0.0,0,truncated_fragment,truncated_fragment
Raspberry Pi in IoT systems,Compare various IoT communication models and APIs. Discuss their significance in,2166121,Internet of Things,SEM-V.pdf,0.4628,1,1,0.1429,1,tool_fragment,tool_fragment; truncated_fragment
Quadratic forms,Self-learning Topics: Application of Residue,2344111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1335,1,1,0.0,0,admin_rubric_noise,admin_rubric_noise
(b) must be from any other Module randomly selected from all the modules),Note for QP Setters,2165113,Agile Software,SEM-V.pdf,0.1539,13,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise; subject_mismatch
Effective use of skill sets,a. Library Management System,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0553,11,1,0.0,0,lab_or_project_course,lab_or_project_course
Paradigm Approach,Event listeners for button presses,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0816,9,1,0.0,0,lab_or_project_course,lab_or_project_course
Knowledge Base having multiple facts and rules,understand query execution using the backward,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0851,2,1,0.0,0,lab_or_project_course,lab_or_project_course
Solve any three questions out of five: (05 marks each),question carrying five marks,2165113,Agile Software,SEM-V.pdf,0.7166,10,1,0.1667,1,admin_rubric_noise,admin_rubric_noise
debug the code,Tutorial on Introduction to Haskell programming,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1902,13,1,0.0,0,lab_or_project_course,lab_or_project_course
Autocorrelation Function (PACF),Interpretation for model identification AR,2166120,Visualization Lab,SEM-V.pdf,0.2755,1,1,0.0,1,subject_mismatch,subject_mismatch; lab_or_project_course
Haskell code to represent infinite list e.g,understand declarative programming concepts,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2381,10,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Spearman’s Rank correlation coefficient (R) (with,Moment generating function,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1381,5,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
Prerequisite To study and explore Tinkercad Simulator,Displaying Sensor Data on a Local Web Server using Flask and RPi,2166121,Internet of Things,SEM-V.pdf,0.0004,7,1,0.0556,0,tool_fragment,tool_fragment
Assessment. Study of various Open,"Roger Pressman, Software Engineering: A Practitioner's Approach, 6th edition, McGraw",2165113,Agile Software,SEM-V.pdf,0.2825,7,1,0.0,0,publisher_citation,publisher_citation
Introduction to Statistical Learning (ISLR2)”,for Data Scientists”,2165111,Statistics for,SEM-V.pdf,0.2955,5,1,0.0,1,publisher_citation,publisher_citation; truncated_fragment
"modules. For example, if Q.2 has part (a) from Module 3 then part",Note for QP Setters,2165113,Agile Software,SEM-V.pdf,0.3763,2,1,0.0625,1,admin_rubric_noise,admin_rubric_noise; subject_mismatch
world case studies,"Sricharan Vadapalli , DevOps: Continuous Delivery, Integration, and Deployment with",2165113,Agile Software,SEM-V.pdf,0.1109,14,1,0.0,0,truncated_fragment,truncated_fragment
Full functioning of working model as per stated requirements,a. Library Management System,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1262,12,1,0.0,0,lab_or_project_course,lab_or_project_course
"David J. Anderson and Eli Schragenheim, ―Agile Management for Software","Craig Larman, Agile and Iterative Development: A Manager’s Guide, Addison",2165113,Agile Software,SEM-V.pdf,0.6146,2,1,0.1053,1,publisher_citation,publisher_citation
Algorithms  for  different  situations,Self-learning Topics: Study a real time case study for,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2476,2,1,0.0833,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Spring Initializr,@RestController vs. @Controller,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2222,14,1,0.0,0,lab_or_project_course,lab_or_project_course
Full functioning of working model as per stated requirements,experience of more than five years approved by head of Institution,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2653,8,1,0.0556,1,publisher_citation,publisher_citation; subject_mismatch; lab_or_project_course
that adapt to different screen sizes and devices using media queries,form elements (text fields,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0579,8,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Q2: Explain the double spending problem in blockchain,"enabled smart contracts, and how do they enhance automation?",2166126,Blockchain,SEM-V.pdf,0.22,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Object Oriented,"Abstraction & Encapsulation, Initialization and",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4657,3,1,0.0,1,person_name,person_name; truncated_fragment; lab_or_project_course
Self-learning Topics: Thresholding techniques,through case study on handwritten digits (0 - 9),2166117,Digital Imaging,SEM-V.pdf,0.2955,2,1,0.0,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Use functions and data structures to store and compute data,Paradigm Approach,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1656,11,1,0.0,0,lab_or_project_course,lab_or_project_course
Faculty of Technology,Associate Dean,2166126,Blockchain,SEM-V.pdf,0.3906,2,1,0.0,1,admin_rubric_noise,admin_rubric_noise; publisher_citation; person_name
Introduction to data analytics,Overview of data analytics,2166120,Visualization Lab,SEM-V.pdf,0.8195,1,1,0.3333,1,lab_or_project_course,lab_or_project_course
"First International Edition, Prentice Hall",Internal Assessment (IA) for 20 marks,2165113,Agile Software,SEM-V.pdf,0.1876,13,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise
Axios for API calls,Mapping HTTP methods to,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2087,14,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Introduction to Python and,Scikit-learn R,2166120,Visualization Lab,SEM-V.pdf,0.3394,3,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
Choosing the right DevOps tools and challenges,Assessment. Study of various Open,2165113,Agile Software,SEM-V.pdf,0.1265,2,1,0.0,0,truncated_fragment,truncated_fragment
Dynamic Binding,At least Two Program preferably in Java/C++ to,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0869,6,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Technology Stack,Backend: Java,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3365,2,1,0.0,1,lab_or_project_course,lab_or_project_course
o Marks awarded by guide/supervisor for Capstone Project Completion,o Quality of Project report & Project Review,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4271,1,1,0.1429,1,subject_mismatch,subject_mismatch; lab_or_project_course
"Craig Larman, Agile and Iterative Development: A Manager’s Guide, Addison",IA will consist of Two Compulsory Internal Assessment Tests. Each test will be,2165113,Agile Software,SEM-V.pdf,0.0644,7,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise
Fourier series of periodic,Complex form of Fourier Series,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.7343,3,1,0.5,1,truncated_fragment,truncated_fragment
Bootstrap Introduction & Components: Get started with Bootstrap,Starter dependencies,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3028,8,1,0.0,1,lab_or_project_course,lab_or_project_course
"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”","Introduction to Agile Methods, Sondra Ashmore",2165113,Agile Software,SEM-V.pdf,0.629,2,1,0.0667,1,publisher_citation,publisher_citation
Convergence Speed,Applications and variants,2166115,Nature-,SEM-V.pdf,0.1314,7,1,0.0,0,person_name,person_name; generic_lone_term; truncated_fragment
Object Oriented,Dynamic Binding,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1642,5,1,0.0,0,lab_or_project_course,lab_or_project_course
Choosing the right DevOps tools and challenges,"based DevOps tools, and real",2165113,Agile Software,SEM-V.pdf,0.7555,5,1,0.3333,1,truncated_fragment,truncated_fragment
Students shall be motivated to publish a paper based on the work in Conferences/students competitions,Functional Programming,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0992,12,1,0.0,0,admin_rubric_noise,admin_rubric_noise; subject_mismatch; lab_or_project_course
making and automation using AI agents in,"Applications”, Wiley India, 2023",2166118,Blockchain,SEM-V.pdf,0.1562,8,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
"contribution in group activity, their understanding, and response to questions",o Marks awarded by guide/supervisor for Capstone Project Completion,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1541,4,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Fourier Series,Dirichlet’s conditions,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1514,1,1,0.0,0,publisher_citation,publisher_citation
"DevOps: Dive, , Packt, 2018",Internal Assessment (IA) for 20 marks,2165113,Agile Software,SEM-V.pdf,0.0869,4,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise
Fetch API,application. Properties,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0334,9,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Overview of Data Structures: Revision of basic data structures (arrays,linked lists,2343112,Advance Data,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3246,1,1,0.0,1,truncated_fragment,truncated_fragment
Text Processing,FSM with,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1712,7,1,0.0,0,truncated_fragment,truncated_fragment
Multi-tier architecture,MVC Architecture- Model: Business logic,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4154,1,1,0.1429,1,lab_or_project_course,lab_or_project_course
